ProductCode,ProductName,IsActive
0001_UOMEACH,US FOODS INV.,yes
0002_UOMEACH,Big Apple Invoice,yes
0003_UOMEACH,Ramar Foods Inv.,yes
0004_UOMEACH,Kilauea Inv.,yes
0005_UOMEACH,Redondo's Invoice,yes
0006_UOMEACH,Cherry Co. Invoice,yes
0007_UOMEACH,L&C Food Distribution,yes
0008_UOMEACH,Karat Lollicup Inv.,yes
0013_UOMEACH,Tape,yes
2201_UOMCS11,Amberjack (Yellowtail)  11 lbs,yes
2201_UOMLBS,Yellow Tail Loin,no
2202_UOMCS,Albacore Loin 11 lbs/CS,no
2203_UOMCS,Tuna-AA  10#/BX,no
2204_UOMCS22,Tuna-A   (22),yes
2204_UOMLBS,Tuna-A   (22),no
2205_UOMCS22,Tuna- Block  22/CS,no
2205_UOMLBS,Tuna- Block  22/CS,no
2206_UOMCS,Tuna- NTC  AAA  22lbs/CS,no
2207_UOMCS,Albacore 22lbs.,no
2207_UOMCS22,Albacore 22lbs.,no
2207_UOMlb,Albacore 22lbs.,no
2208_UOMCS22,Tuna-NTC    C    (22)/CS,no
2208_UOMLBS,Tuna-NTC    C    (22)/CS,no
2209_UOMCS22,Tuna C-Tatakimi 22lbs,yes
2209_UOMLBS,Tuna C-Tatakimi 22lbs,no
2210_UOMCS,Tuna-Saku Yellow Fin,no
2210_UOMCS22,MSC Tuna A,yes
2211_UOMCS,MSC Albacore 22,yes
2212_UOMCS22,Tuna w/ skin,no
2212_UOMLBS,Tuna w/ skin,no
2213_UOMCS,MSC Tuna Tatakimi 22,no
2216_UOMCS35,Tuna Tray,yes
2216_UOMTRAY,Tuna Tray,no
2220_UOMCS22,Smk Steelhead Loin   (24),no
2220_UOMCS24,Smk Steelhead Loin   (24),no
2220_UOMLBS,Smk Steelhead Loin   (24),no
2224_UOMCS22,Froz Steelhead Fillet   (22),no
2224_UOMCS24,Froz Steelhead Fillet   (22),no
2224_UOMLBS,Froz Steelhead Fillet   (22),no
2228_UOMCS22,Salmon Atl Hann   (22),no
2228_UOMLBS,Salmon Atl Hann   (22),no
2232_UOMCS24,Smoked Atlantic  Salmon   (24),yes
2232_UOMLBS,Smoked Atlantic  Salmon   (24),no
2234_UOMCS22,Atlantic Salmon Bits and Pieces,no
2236_UOMCS22,Atlantic Salmon 22,no
2236_UOMCS24,Atlantic Salmon 22 or 24lbs,no
2236_UOMCS33,Atlantic Salmon 22,no
2236_UOMLBS,Atlantic Salmon (24),no
2237_UOMCS22,ASC Atlantic Salmon,yes
2237_UOMCS33,ASC Atlantic Salmon,no
2238_UOMCS10,Pre Cut Atlantic Salmon 10/CS,no
2240_UOMCS22,Salmon with Skin,yes
2240_UOMCS33,Salmon with Skin,yes
2240_UOMLBS,Salmon with Skin,no
2244_UOMCS,"Salmon Grilled  Coho Roast Fzn  22/CS",yes
2245_UOMLBS,Sockeye Salmon Fil,no
2248_UOMCS10,Tilapia Fillet   10 lbs box,no
2248_UOMCS11,Tilapia Fillet   11 lbs box,no
2248_UOMCS22,Tilapia Fillet   11 lbs box,no
2248_UOMLBS,Tilapia Fillet   11 lbs box,no
2249_UOMCS10,Tilapia Fiflet  10#/CS Tristan,no
2252_UOMCS11,Fresh Water Eel   (11),yes
2252_UOMCS22,Fresh Water Eel   (11),no
2252_UOMLBS,Fresh Water Eel   (11),no
2256_UOMCS16,Fresh Water Eel 20P Tray,no
2256_UOMTRAY,Fresh Water Eel 20P,no
2259_UOMCS24,Unakaba. Imitation Eel 4/24/CS,no
2259_UOMCS96,Unakaba. Imitation Eel 4/24/CS,yes
2260_UOMCS20,Minced Fr Wtr Eel 20PK,no
2260_UOMCS22,Minced Fr Wtr Eel 22PK,no
2260_UOMPK,Minced Fr Wtr Eel 20PK,no
2268_UOMCS12,Baby Octopus 12/2.2 lbs/CS,no
2268_UOMPK,Baby Octopus 12/2.2 lbs/CS,no
2272_UOMCS12,Squid 20P 12tray/CS,no
2272_UOMCS25,Squid 20P 25tray/CS,no
2272_UOMTRAY,Squid 20P 12tray/CS,no
2276_UOMCS12,Octopus 20P 12 tray/CS,no
2276_UOMCS25,Octopus 20P 25tray/CS,no
2276_UOMTRAY,Octopus 20P 12 tray/CS,no
2280_UOMEACH,Shime Saba 15 Pc,no
2406_UOMCS20,Shrimp Tray Vannamei 20tray/CS,yes
2406_UOMTRAY,Shrimp Tray Vannamei 20tray/CS,no
2412_UOMBAG,Shrimp Broken 20bag/CS,no
2412_UOMCS10,Shrimp Broken,no
2412_UOMCS20,Shrimp Broken 20bag/CS,no
2418_UOMCS15,Tempura Shrimp 10Pc 15tray/CS,yes
2418_UOMTRAY,Tempura Shrimp 10Pc 15tray/CS,no
2420_UOMCS,Tempura Shrimp Gluten Free,no
2424_UOMCS,Shrimp Tray Hannaford 30/30pc,no
2430_UOMCS,Shr Tempura Han 100pc/CS,no
2432_UOMCS,Special Tempura/Hot Bowl 10p/16tray/CS,no
2436_UOMBAG,Baby Shrimp 5 lbs 4bag/CS,no
2436_UOMCS4,Baby Shrimp 5 lbs 4bag/CS,yes
2440_UOMCS16,Crab Stick Imi  H.G. CS16,yes
2440_UOMPK,Crab Stick Imi  H.G. CS16,no
2441_UOMCS16,Crab Flake Imi  H.G.CS16,no
2441_UOMPK,Crab Flake Imi  H.G.CS16,no
2442_UOMCS16,AFC Crab Shredded CS16,yes
2442_UOMPK,AFC Crab Shredded CS16,no
2443_UOMCS16,Crab Stick India CS16,no
2443_UOMPK,Crab Stick India CS16,no
2444_UOMCS,Natural Imitation Crab Stick,yes
2448_UOMCS16,Crab Stick Imi USE Item 2440,no
2448_UOMPK,Crab Stick Imi USE Item 2440,no
2450_UOMCS,Crab Stick Tetsujin 22 lbs,no
2451_UOMCS,Imi Crab Flake Kosher,no
2454_UOMCS,Kanikama Osaki,no
2460_UOMCS24,Boiled Crab   (1) 24/CS,no
2460_UOMlb,Boiled Crab   (1),no
2466_UOMCS25,Real Crab   (5) 25lb/CS,yes
2466_UOMCS30,Real Crab   (5) 25lb/CS,no
2466_UOMlb,Real Crab   (5) 25lb/CS,no
2472_UOMCS,Kosh Imit Crab Stick 12/1lbs,yes
2605_UOMCASE,Fried Tofu Cubes 10 x 2.2lbs,yes
2606_UOMBAG,Natural Tempura Crispy 6bag/CS,no
2606_UOMCS6,Natural Tempura Crispy 6bag/CS,yes
2607_UOMBAG,Tem Crispies Gluten Free,no
2612_UOMBOT,Salmonroe  2.2 lbs,no
2618_UOMCS17.6,Fish Roe   (4.4),no
2618_UOMLBS,Fish Roe   (4.4),no
2619_UOMCS4,Fish Roe Masago  4.4 lbs  4/CS,yes
2619_UOMPK,Fish Roe Masago 4.4 lbs  4/CS,no
2624_UOMLBS,Fish Roe   (1.1),no
2625_UOMCS12,Fish Roe 0.44 lbs  30pk/cs,no
2625_UOMCS24,Fish Roe 1.1 lbs  24/CS,no
2625_UOMCS30,"Fish Roe Masago 0.44 lbs  30pk/cs",yes
2625_UOMPK,Fish Roe 1.1 lbs  24/CS,no
2630_UOMCS12,Tobiko Red  12/1.1 lbs/CS,yes
2630_UOMPK,Tobiko Red  12/1.1 lbs/CS,no
2636_UOMCS20,Frozen Spinach,no
2642_UOMCS10,Mushroom  1.1 lbs 10/CS,yes
2642_UOMPK,Mushroom  1.1 lbs 10/CS,no
2648_UOMCS10,Gourd 2.2LB 10/CS,yes
2648_UOMPK,Gourd 2.2LB 10/CS,no
2654_UOMCS6,Carrot 2.2 lbs 6/CS,no
2654_UOMPK,Carrot 2.2 lbs 6/CS,no
2660_UOMBAG,Edamame Beans 10/2lbs,no
2660_UOMCS10,Edamame Beans 10/2lbs,yes
2662_UOMCS,Kosher Edamame,no
2663_UOMCS,Edamame Beans NTC 20/400g,no
2666_UOMCS20,Egg Cake 20/CS,yes
2666_UOMCS5,Egg Cake 20/CS,no
2666_UOMEACH,Egg Cake 20/CS,no
2672_UOMCS12,Seabreeze Salad  12/2.2 LBS/CS,no
2672_UOMCS24,Seabreeze Salad  24/1.1  LBS/CS,yes
2672_UOMCS6,Seabreeze Salad 4.4LB,no
2672_UOMEACH,Seabreeze Salad  12/2.2 LBS/CS,no
2673_UOMPK,Nat. Seaweed Salad 4/4.4lbs,no
2678_UOMCS12,Calamari Salad  12/2.2 lbs/CS,no
2678_UOMCS24,Calamari Salad  24/1.1 lbs/CS,yes
2678_UOMCS6,Calamari Salad 4.4 lbs,no
2678_UOMEACH,Calamari Salad  12/2.2 lbs/CS,no
2679_UOMPK,Nat Calamari salad 4/4.4lbs,no
2680_UOMCS,Ebiyaki,no
2681_UOMCS,Okonomiyaki Vegetable,no
2682_UOMCASE,AFC Fusion Spicy Sauce,no
27_UOMEACH,PALLET,no
2805_UOMBAG,Grilled Chicken 2/5lb/CS,no
2805_UOMCS2,Grilled Chicken 2/5lb/CS,yes
2810_UOMCS30,Grilled Dumpling Shrimp 30/CS,yes
2815_UOMCS30,Gril Dumpling  Vegetable 30bag/CS,no
2816_UOMCS,Chicken Gyoza  Siracha (RED) 10/49pc,no
2817_UOMCS,Chicken Gyoza Mushroom (ORANGE) 10/49pc,no
2818_UOMCS,Chicken Gyoza  Leek (WHITE) 10/49pc,no
2819_UOMCS,Pre Fried Spring Roll,yes
2820_UOMCS,Shumai 104P/CS,no
2821_UOMCS,Pork Shumai 108pc/CS,yes
2822_UOMCS,AFC Sukiyaki Beef 12/1lbs,yes
2824_UOMCS,Chicken Katsu 30lb/CS,no
2825_UOMCS,#1 Sliced Beef 6/4.4lbs,no
2826_UOMCS,Asian BBQ Beef 30#,yes
2827_UOMCS,Yakiniku  Beef  10/2.2lb,no
2828_UOMCS4,Diced Pastrami  4BAG/CS,no
2829_UOMCS,Japanese Meatball 10pk/cs,no
2830_UOMBAG,#2 Chicken Karaage 4x5 lbs,no
2830_UOMCS4,#2 Chicken Karaage 4x5 lbs,no
2831_UOMCS,Crispy Chicken (Karaage) 30#/CS,yes
2835_UOMBAG,#3 Teriyaki Chicken 5x5.28 lbs bag,no
2835_UOMCS5,#3 Teriyaki Chicken 5x5.28 lbs bag,no
2836_UOMCS,#3 Teriyaki Chicken OH,yes
2837_UOMCS,Chicken Skewers (Yakitori) 20bags/cs,no
2840_UOMCS,#6 Chicken Breast 10 lbs/CS,yes
2841_UOMCS,Fzn BBQ Pork Baos 50pc/CS,no
2842_UOMCS,Hokki Fry 2/60pc,no
2843_UOMCS,Pork Chashu  8LBS/CS,yes
2843_UOMCS22,Pork Chashu  22LBS/CS,no
2843_UOMCS8,Pork Chashu  8LBS/CS8,no
2843_UOMlb,Pork Chashu  22LBS/CS,no
2844_UOMCS30,Scalop 6/5lbs,no
2845_UOMCS,UDON. SANUKI 8/2.75lbs,yes
2846_UOMCASE,Chicken Chashu w/Soy 20/1lbs,no
2847_UOMCASE,AFC Tonkotsu Ramen  w/Vegetables  50pc/6oz,no
2850_UOMCS,SOBA. FROZEN,no
2855_UOMCS,Yakisoba. JSL  Fzn Noodles 5/4lbs,yes
2857_UOMCS,#2  Fzn Yakisoba Noodle  MC Wavw 10/2.2lbs Otafuku,no
2860_UOMCS,Chow Mein. JSL Baked. Frozen 8/3lbs,no
2861_UOMCS,Fzn Ramen Noodles. MTC 40pc,yes
2862_UOMCS,Ramen Yamachan 40pc/cs,no
2863_UOMCS,Frozen Cooked  Ramen  Noodles 5/8/200g,no
2865_UOMCS20,INARI PACK 30 pc 20/CS,yes
2865_UOMPACK,INARI PACK 30 pc 20/CS,no
2870_UOMCS10,Natural Inari 10/60pc,yes
2870_UOMPK,Natural Inari 10/60pc,no
2875_UOMBOT,Classic Yummy Sauce 4/Gal/CS,no
2875_UOMCS4,Classic Yummy Sauce 4/Gal/CS,no
2876_UOMCS10,Yuzu Sauce 10/per Cs,yes
2877_UOMCS,VEGETABLE CURRY CS50,no
2880_UOMBOT,Basic Sauce,no
2880_UOMCS4,Basic Sauce,no
2884_UOMCS4,Fzn Veg. Curry Concentrate,no
2884_UOMEACH,Fzn Veg. Curry Concentrate,no
2885_UOMCS12,Fzn AFC Goma Sesame Dressing 12/kg Otafu,no
2885_UOMPK,Fzn AFC Sesame Sauce 12/kg Otafuku,no
2886_UOMCS,Tempura Pumpkin,no
2887_UOMCS,Tempura String Beans,no
2888_UOMCS,Fzn Yasai Mix Veg.,no
2889_UOMCS,Ebi Fry  (Fried Shrimp) 100pc/CS,no
2890_UOMCS,HK Style BBQ Pork 16/0.8lbs,no
2905_UOMCS,Nama Ramen Frozen  5/8/200g,no
2915_UOMCS,Yakiniku  Beef  10/2.2lb,no
2920_UOMlb,Pork Chashu  LBS,no
2925_UOMCS12,Fzn AFC Sesame Sauce 12/kg Otafuku,no
2925_UOMPK,Fzn AFC Sesame Sauce 12/kg Otafuku,no
2930_UOMCS,Fzn  Yakisoba w/sauce 10/2.2lbs Otafuku,no
2999_UOMCS,Waygu,no
3205_UOMEACH,Ginger A 20LB,yes
3210_UOMEACH,Ginger B 20LB,yes
3215_UOMCS16,Wasabi 2.2lb,yes
3215_UOMPK,Wasabi 2.2lb,yes
3216_UOMCS6,Curry Sauce  Canned 6/6.4lbs,no
3216_UOMEACH,Curry Sauce  Canned 6/6.4lbs,no
3219_UOMCS,Toasted Dry Seaweed 40pks,no
3220_UOMBAG,Seaweed Nori 100SH,yes
3220_UOMCS40,Seaweed Nori 100SH,yes
3225_UOMCS,To Go Soy Sauce 500PC,no
3235_UOMCS,Soy Sauce L/S 1000 pc,yes
3236_UOMCS,Wild Blue Soy Sauce L/S 1000 pc,yes
3238_UOMCS,Soy Sauce Packet  (Hello Kitty) CS,no
3240_UOMCS,Soy Sauce Special IZU,no
3243_UOMCS,Soy Sauce Gluten Free 200pc,no
3245_UOMBAG,PREMIUM RICE 40 lbs,yes
3246_UOMBAG,AFC Brown Rice,yes
3247_UOMBAG,Brown Rice. Mitsuhikari 10 kg,no
3250_UOMBAG,Brown Rice 50 lbs,no
3253_UOMBAG,SPECIAL Military Brown Rice,yes
3254_UOMBAG,Black Glutinous Rice  10x5lbs,no
3254_UOMCS,Black Glutinous Rice  10x5lbs,no
3255_UOMEACH,Quinoa. Red 25lbs,no
3256_UOMCS,Vineger H-100 Natural 5.28gal,yes
3257_UOMCS,Rice Mix Takikomi Gomoku,no
3260_UOMEACH,Fish Powder 1LB,no
3265_UOMBAG,Sesame Seeds 5LB,yes
3265_UOMCS8,Sesame Seeds 5LB,yes
3270_UOMBOT,Sesame Seed Blk 8oz,yes
3270_UOMCS12,Sesame Seed Blk 8oz,yes
3275_UOMCS12,S. Bonito Small,no
3275_UOMEACH,S. Bonito Small,no
3280_UOMCS10,Tapioca (Spring Roll Wrap) Paper 50pc,yes
3280_UOMEACH,Tapioca (Spring Roll Wrap) Paper 50pc,yes
3285_UOMPK,Gluten Free Fried Onion,no
3289_UOMCS15,Fried Onion,no
3289_UOMEACH,Fried Onion,no
3290_UOMCS10,Fried Onions 10/1kg,yes
3290_UOMEACH,Fried Onions 10/1kg,no
3293_UOMPACK,Nori Komi,no
3299_UOMEACH,Seaweed Salad Mix. Dry 2/12/50g,no
3308_UOMCS,To Go Soy L/S 1000pc Canada,no
3310_UOMCS,Soy Sauce Gluten Free 200pc,no
3403_UOMBOT,Kikk Sushi Sauce  0.5 gal,no
3403_UOMCS6,Kikk Sushi Sauce  0.5 gal,no
3404_UOMBOT,Kikko Sushi Sauce 1 gal,no
3404_UOMCS4,Kikko Sushi Sauce 1 gal,yes
3406_UOMCS,Kik Ponzu Sauce 500pc,yes
3409_UOMBOT,Wasabi Sauce 0.5G,yes
3409_UOMCS6,Wasabi Sauce 0.5G,yes
3412_UOMBOT,Premium Spicy Sauce 0.5G,yes
3412_UOMCS6,Premium Spicy Sauce 0.5G,yes
3415_UOMBOT,Hot Garlic Sauce,yes
3415_UOMCS4,Hot Garlic Sauce,yes
3418_UOMCS,SW Chili SA 200,yes
3419_UOMCS,Chili Oil for Sushi,no
3419_UOMCS40,Chili Oil for Sushi,no
3419_UOMPK,Chili Oil for Sushi,no
3420_UOMCS,Chili Oil for Hot Food,yes
3420_UOMCS40,Chili Oil for Hot Food,no
3420_UOMPK,Chili Oil for Hot Food,no
3421_UOMCS,Hoisin Sauce 200,no
3424_UOMBOT,Spicy Sesame Oil,yes
3424_UOMCS6,Spicy Sesame Oil,yes
3427_UOMBOT,Siracha L 28oz,yes
3427_UOMCS12,Siracha L 28oz,yes
3429_UOMBOT,Katsu Sauce 6/cs,no
3429_UOMCS6,Katsu Sauce 6/cs,no
3430_UOMCS,AFC Basic Sauce,yes
3431_UOMCS,AFC BBQ Sauce,no
3432_UOMCS,Chicken Bouillon Powder,no
3433_UOMBOT,Ginger Sauce 58oz,no
3433_UOMCS,AFC Orange Sauce,yes
3434_UOMCS,AFC Peking Sauce,no
3435_UOMCS,AFC Sesame Sauce,yes
3436_UOMBOT,Chili Sf Sauce 56 oz,no
3436_UOMCS,AFC Stir Fry Sauce,yes
3437_UOMBOT,Sweet & Sour Sauce,no
3437_UOMCS,Sweet & Sour Sauce,no
3437_UOMCS4,Sweet & Sour Sauce,yes
3438_UOMBOT,AFC Yakiniku Sauce,no
3438_UOMCS,AFC Yakiniku Sauce,no
3438_UOMCS4,AFC Yakiniku Sauce,yes
3439_UOMCS,Micro Noodle Bowl 38oz,yes
3440_UOMEACH,Mushroom Bouillon Powder,no
3443_UOMBAG,Classic Teriyaki Sauce 12 bag,no
3443_UOMCS12,Classic Teriyaki Sauce 12 bag,yes
3444_UOMBAG,Sweet & Sour Bag 12 bag,no
3444_UOMCS12,Sweet & Sour Bag 12 bag,no
3445_UOMCS,AFC Sweet & Spicy Dipping Sauce,yes
3446_UOMCASE,AFC Fusion Spicy Sauce,no
3447_UOMCASE,AFC Spicy Bomb Sauce,yes
3448_UOMBOT,Yakisoba Sauce,yes
3448_UOMCS6,Yakisoba Sauce,yes
3450_UOMBOT,Basic Sauce,no
3450_UOMCS4,Basic Sauce,no
3451_UOMBOT,Okonomi  Sauce,no
3451_UOMCS6,Okonomi  Sauce,no
3454_UOMBOT,NEW YAKINIKU SAUCE 1 GAL,no
3454_UOMCS4,NEW YAKINIKU SAUCE 1 GAL,no
3460_UOMBOT,Creamy Sesame Dressing,no
3463_UOMBOT,Men Tsuyu  (Soup Base) 12/16oz,no
3463_UOMCS12,Men Tsuyu  (Soup Base) 12/16oz,yes
3466_UOMBOT,SESAME SAUCE,no
3466_UOMCS,Creamy Sesame Dressing 6/32oz,yes
3467_UOMBAG,Sesame Sauce 15/2lb,no
3467_UOMBOT,Creamy Sesame Dressing CS12,no
3467_UOMCS12,Creamy Sesame Dressing CS12,no
3467_UOMCS15,Sesame Sauce 15/2lb,no
3468_UOMCS,Chinese Style Sesame Dressing,yes
3468_UOMCS6,Chinese Style Sesame Dressing,no
3469_UOMBOT,ORANGE SAUCE Bot.4 Gal/CS,no
3470_UOMBAG,Orange Sauce 15/2lbs,no
3470_UOMCS15,Orange Sauce 15/2lbs,no
3475_UOMBOT,PEKING SAUCE,no
3485_UOMBOT,Miso Ramen Soup 6/2kg,yes
3485_UOMCS6,Miso Ramen Soup 6/2kg,yes
3490_UOMCS12,AFC Poke Sauce 12/720g Otafuku,no
3490_UOMPK,AFC Poke Sauce 12/720g Otafuku,no
3491_UOMCS,Premium AFC Poke Sauce 8/720g,yes
3492_UOMPK,Premium AFC Poke Sauce PK,no
3604_UOMCS12,Retail Pickeled Ginger Calif Cup,yes
3605_UOMBOT,Sushi Gari BOT,no
3605_UOMCS12,Sushi Gari BOT,yes
3606_UOMCS,Sushi Gari Canada,no
3610_UOMBOT,R Sesame 4oz,no
3610_UOMCS12,R Sesame 4oz,yes
3615_UOMCS20,Grated Wasabi,yes
3615_UOMEACH,Grated Wasabi,no
3620_UOMBOT,Wasabi Dressing 12,no
3620_UOMCS12,Wasabi Dressing 12,no
3625_UOMBOT,Ginger Dressing,no
3625_UOMCS12,Ginger Dressing,no
3630_UOMBOT,Wasabi Sauce,no
3630_UOMCS12,Wasabi Sauce,no
3635_UOMCS,Retail Sushi Seaweed 50pk,yes
3635_UOMCS2,Ntl Seaweed 50 pack,no
3635_UOMPACK,Ntl Seaweed 50 pack,no
3637_UOMCASE,Calpico Original,no
3638_UOMCASE,Calpico Strawberry,no
3639_UOMCASE,Calpico Mango,no
3640_UOMCS,Green Tea  24 Can,yes
3642_UOMCS,Green Tea Can  (Hello Kitty) CS,no
3647_UOMBOT,Soy Sauce Bottle,no
3647_UOMCS12,Soy Sauce Bottle,no
3647_UOMCS24,Soy Sauce Bottle,yes
3648_UOMCS,Soy Sauce Hello Kitty,no
3648_UOMCS24,Soy Sauce Bottle 24 cs,yes
3650_UOMBOT,S Vineger,no
3650_UOMCS12,S Vineger,no
3655_UOMCS,Tofu Miso 24,yes
3660_UOMCS,Miso Soup 24,yes
3665_UOMEACH,Sushi Kit New,no
3803_UOMPK,Takuwan 400G,no
3804_UOMCS,Sesame Soy Wrapper 20/10pk,yes
3805_UOMCS,Yellow Soy Wrapper 20/10pks,yes
3806_UOMCS,Quick Miso PK,no
3806_UOMPACK,Green Apple Origami Wrap 50pc/CS,no
3807_UOMPACK,Tomato Origami Wraps 50pc/CS,no
3808_UOMPACK,Mango Chipotle Origami Wraps 50pk/cs,yes
3809_UOMCS24,Color Soy Wrap,yes
3809_UOMPK,Color Soy Wrap,yes
3810_UOMCS,Soy Wrap Nori White,no
3811_UOMEACH,Furikake Nori Rice mix,no
3812_UOMCS12,Old Bay Season,no
3812_UOMEACH,Old Bay Season,no
3818_UOMEACH,Wheat Grain 44lb,no
3820_UOMEACH,Kosher Ginger,no
3825_UOMEACH,Kosher Wasabi 1KG,yes
3830_UOMCS,Kosher Nori 12/30sh,yes
3835_UOMCS,Kosher Soy,no
3840_UOMEACH,Natural Ginger 20LB,yes
3850_UOMBAG,Natural Wasabi 2.2LB,yes
3850_UOMCS16,Natural Wasabi 2.2LB,yes
3860_UOMCS,Natural Vin Orange 5.28gal,yes
3870_UOMBAG,Beet Root Chips,yes
3871_UOMBAG,Okra Chips,yes
3874_UOMEACH,DSD-AV Treha,no
3878_UOMEACH,DSD-B Soya Mix,no
3882_UOMEACH,DSD-C Suihan,no
3886_UOMEACH,DSD-D Soy Oil,no
